Compression Strength (MPa),Compression Modulus (MPa),Toughness (GPa),A (wt%),B (wt%),C (wt%),D (wt%),E (wt%),F (wt%)
455,1.37,68113,0,18,21,28,20,13
280,2.11,51731,0,2,38,4,29,27
470,1.76,77877,19,30,10,6,7,28
440,1.96,76655,8,16,14,4,19,39
366,1.23,62118,34,6,23,16,19,2
411,1.12,66050,14,10,7,20,27,22
136,0.9,22269,7,7,32,21,3,30
369,1.31,61644,2,1,27,13,49,8
534,0.9,68785,9,32,3,13,37,6
443,0.73,59416,8,21,2,0,61,8
507,0.98,66651,9,32,4,21,17,17
444,1.12,65323,14,30,7,10,25,14
490,1.33,72484,4,17,7,22,24,26
359,1.73,60280,17,15,28,29,0,11
485,0.89,66192,10,14,14,26,27,9
229,0.73,49588,100,0,0,0,0,0
436,1.17,60782,0,100,0,0,0,0
368,0.04,29840,0,0,0,100,0,0
558,1.01,72324,60,40,0,0,0,0
545,1.01,76481,55,45,0,0,0,0
596,1.03,80252,50,50,0,0,0,0
578,1.03,78300,45,55,0,0,0,0
603,1.05,79495,40,60,0,0,0,0
536,1.34,83057,27,44,9,4,8,8
381,1.58,63939,4,19,36,20,12,9
488,1.69,74453,0,59,0,8,8,25
492,2.04,77476,0,39,13,7,3,38
483,1.7,74332,1,51,0,10,2,36
461,1.53,68684,1,62,1,3,10,23
429,1.96,73565,6,30,41,1,1,21
420,1.75,70958,8,32,50,7,2,1
186,2,39188,15,28,25,1,6,25
308,2.93,68674,0,0,0,0,0,100
248,0.34,41639,0,0,0,0,100,0
330,1.61,58955,2,11,0,50,3,34
261,2.54,54114,1,19,0,0,0,80
374,2.13,72005,1,39,0,2,1,57
442,1.64,73645,18,12,0,36,0,34
326,2.26,65493,1,0,13,25,0,61
407,1.71,79299,32,0,12,1,0,55
281,2.09,55835,1,15,10,21,0,53
345,2.26,66935,1,0,15,25,0,59
338,1.71,65225,15,45,4,3,1,32
381,0.61,47362,5,32,0,57,6,0
424,1.31,68133,31,52,0,8,2,7
413,0.72,59056,15,4,13,67,1,0
390,1.3,60316,0,21,20,58,1,0
244,1.58,43427,0,1,28,67,1,3
419,1.12,61445,1,28,11,46,11,3
463,1.47,81857,49,6,0,14,2,29
260,1.94,59061,14,0,7,1,1,77
461,1.57,75813,3,58,18,4,10,7
435,1.97,80546,0,31,1,2,15,51
411,1.71,85333,25,1,1,4,13,56
594,1.08,82485,29,45,6,8,12,0
332,1.23,62332,2,1,16,1,50,30
462,1.57,80821,2,24,0,3,26,45
386,1.91,76224,0,1,0,1,27,71
459,1.39,78607,9,2,0,6,40,43
386,1.8,73308,0,16,0,0,25,59
421,1.9,83070,32,9,2,1,1,55
256,2.25,53258,0,8,13,0,11,68
344,1.9,72698,39,1,3,0,0,57
317,1.92,66141,26,18,2,1,1,52
406,1.94,81223,20,16,0,0,0,64
579,1.04,87101,51,31,7,1,1,9
297,2.27,61772,14,17,2,0,0,67
230,1.78,53154,0,3,2,21,32,42
296,0.89,60049,57,0,11,1,10,21
625,1.13,94709,51,25,10,2,12,0
559,1.56,98461,51,1,7,2,11,28
350,2.67,74202,0,0,0,2,0,98
484,1.58,91455,60,0,3,0,2,35
334,1.83,67470,34,0,11,1,6,48
401,1.52,75082,44,11,11,0,6,28
340,1.17,68371,66,0,8,0,0,26
620,1.32,92325,37,47,10,0,6,0
457,1.03,73400,44,30,9,4,13,0
527,1.21,80673,27,61,12,0,0,0
182,2.15,33836,1,0,0,2,8,89
299,1.91,62780,21,11,6,0,14,48
342,1.81,73191,52,1,1,0,0,46
293,2.1,64377,0,38,1,0,0,61
284,2.03,60696,0,31,1,0,0,68
419,1.51,75788,32,34,2,0,1,31
273,1.95,60035,1,41,0,0,1,57
325,2,65022,0,41,0,13,0,46
361,2.09,69396,0,18,0,26,1,55
310,1.92,61302,4,45,0,7,1,43
321,2.02,62666,0,25,0,25,0,50
408,1.58,76318,36,20,2,8,0,34
398,1.91,74553,21,0,0,33,1,45
438,1.81,79745,25,0,0,31,1,43
403,1.88,75747,19,0,0,32,1,48
368,1.77,65606,0,63,10,0,0,27
393,1.89,69484,0,66,9,0,0,25
317,2.2,63762,0,33,11,1,0,55
356,1.8,64450,0,68,9,0,1,22
438,2.12,87349,35,0,0,1,0,64
335,2.04,65124,1,0,0,36,0,63
514,1.54,93644,48,0,1,0,12,39
526,1.92,98664,39,0,0,2,1,58
555,1.41,91162,40,17,0,0,12,31
654,1.12,96006,44,27,0,0,17,12
613,1.35,102904,34,14,0,0,13,39
575,1.48,99855,33,12,0,0,13,42
596,1.59,97568,39,0,0,0,22,39
674,1.31,96610,39,31,0,0,22,8
571,1.57,97058,41,0,0,0,25,34
454,1.86,85375,35,0,0,0,20,45
512,1.78,93176,33,0,0,0,21,46
385,1.85,77998,31,0,0,0,20,49
536,1.71,96498,35,0,0,0,21,44
290,1.97,66399,20,0,0,0,1,79
597,1,92485,50,0,0,0,30,20
391,0.89,64361,53,6,0,0,32,9
430,0.8,68900,53,0,0,0,33,14
397,1.08,76450,42,0,0,0,27,31
413,1.73,80203,42,1,0,0,14,43
512,1.67,92117,39,0,0,0,13,48
627,1.59,103559,44,0,0,5,13,38
459,1.88,85164,28,0,0,11,8,53
489,1.87,89171,42,12,0,0,6,40
523,1.82,92589,42,11,0,1,7,39
484,2.01,89597,42,11,0,0,4,43
507,1.87,91083,45,8,0,0,5,42
415,1.44,76846,41,14,0,0,7,38
498,1.59,86258,41,12,0,0,6,41
387,1.52,74536,42,16,0,0,7,35
605,1.7,100895,40,13,0,0,8,39
330,2.39,72121,25,0,0,0,0,75
431,2.06,85777,27,0,0,0,0,73
379,1.24,79506,23,0,0,0,0,77
374,1.76,76874,27,0,0,0,14,59
305,1.89,67571,30,0,0,0,9,61
474,1.64,89097,32,1,0,0,9,58
697,1.1,95259,37,37,0,0,19,7
632,1.02,84624,38,41,0,1,19,1
558,1.15,81235,34,36,0,0,20,10
500,1.68,86776,39,23,0,0,0,38
502,1.65,86185,37,22,0,1,0,40
498,1.68,87186,41,21,0,1,0,37
465,1.95,85124,32,19,0,0,0,49
