sample,x0: fuel to oxidizer ratio,x1: acac amount,x2: total concentration,x3: temperature,conductance - mean,conductance - std,XRF-normalized conductance - mean,XRF-normalized conductance - std,Conductivity - mean
1,2.182153593,0.494205026,0.005909707,220,0.025874358,0.025007735,2.02E-07,7.12E-08,27.91959638
2,0.559675078,0.668397088,0.011784456,260,0.001354825,0.007987101,2.01E-07,1.45E-07,27.76172047
3,2.048848814,1,0.011970695,200,0.010435163,0.035914094,7.07E-08,7.41E-08,9.775639117
4,0.57377482,0,0.00590551,220,0.084796345,0.063400898,4.60E-07,1.11E-07,63.55282073
5,1.135545932,0.101273849,0.011734285,260,0.102472006,0.080956979,2.87E-07,5.94E-08,39.66574953
6,1.239726023,0.851805624,0.005967705,220,0.112828291,0.300075782,4.00E-07,1.79E-07,55.28510627
7,2.049728629,1,0.01206233,260,0.030805402,0.054259077,2.18E-07,1.01E-07,30.12776947
8,0.734268591,0.344455107,0.006186046,223.7648773,0.070882563,0.067458665,4.92E-07,7.52E-08,68.06595339
9,0.702908909,0.312678484,0.006713761,203.2299805,0.024349522,0.039055494,1.00E-07,6.10E-08,13.82039056
10,1.057967693,0.034285424,0.006046282,217.3673706,0.050928001,0.046531225,3.77E-07,9.29E-08,52.12769228
11,0.809364523,0.221413365,0.007379158,227.5157166,0.053146325,0.069925918,3.97E-07,6.43E-08,54.93595551
12,1.205952509,0.546357312,0.006254899,228.556366,0.047011459,0.051960089,4.05E-07,4.90E-08,56.00702286
13,0.801373439,0.778562817,0.006049375,212.1525269,0.101229189,0.186060017,4.92E-07,1.63E-07,67.98780914
14,0.680698703,0.943703489,0.006307316,200.7042389,0.071440948,0.221942037,2.74E-07,1.92E-07,37.80984226
15,1.34037121,0.790358482,0.007788046,195.1727448,0.048951877,0.303271589,1.22E-08,1.36E-08,1.684974039
16,0.590947934,0.741046474,0.006112236,213.7182465,0.067866596,0.098851751,3.91E-07,1.80E-07,54.03104483
17,0.569265354,0.055611207,0.006445721,232.6068268,0.052736187,0.053564976,3.64E-07,6.28E-08,50.25682181
18,0.551370981,0.982722251,0.007126989,189.2094421,0.001400611,0.006196734,8.05E-08,6.94E-08,11.12705258
19,1.111101362,0.962737579,0.006259742,206.8835144,0.066832883,0.085491454,5.32E-07,1.24E-07,73.50185284
20,1.082724542,0.940824683,0.006258837,208.3402557,0.081114582,0.166342338,4.56E-07,1.41E-07,63.10123842
21,1.18248916,0.991951958,0.007216189,201.1848297,0.010426518,0.028732491,7.29E-08,6.39E-08,10.08146102
22,1.241166352,0.78621813,0.005868824,188.1389313,0.002697138,0.004948698,3.67E-08,1.61E-08,5.080168532
23,0.76203351,0.031803871,0.006985269,217.7741394,0.039095507,0.044688755,2.73E-07,4.01E-08,37.79687384
24,1.826421683,0.931010962,0.009132393,224.5569153,0.012278227,0.029838512,1.76E-07,9.38E-08,24.31075093
25,0.847653719,0.974019134,0.007410297,270.4479065,0.017155919,0.04957675,3.34E-07,2.31E-07,46.15997603
26,1.785844898,0.539432218,0.010682413,243.1016846,0.095109027,0.097598776,4.31E-07,1.27E-07,59.57380019
27,1.342012472,0.241019582,0.010972944,216.1386414,0.016316271,0.018745823,7.92E-08,4.22E-08,10.94353961
28,1.070116843,0.310945143,0.010352542,213.9108124,0.013050554,0.017387553,5.77E-08,2.88E-08,7.981400251
29,0.816851369,0.942772005,0.010137471,205.7041779,0.084520458,0.694020443,5.63E-08,4.32E-08,7.779611381
30,1.047154814,0.039098131,0.00640803,271.7425537,0.098204343,0.095565679,6.62E-07,1.33E-07,91.5170897
31,1.742641538,0.122053771,0.010473137,247.7990112,0.015218865,0.01811936,7.73E-08,1.98E-08,10.68285467
32,1.517945468,0.598574205,0.008212019,228.2280731,0.028381406,0.043585061,2.78E-07,6.15E-08,38.43193541
33,1.755293199,0.615508401,0.009268537,234.9199524,0.02773643,0.044585959,2.78E-07,1.70E-07,38.42142051
34,1.950570862,0.220096275,0.01029692,250.6461182,0.017681858,0.021907761,8.30E-08,4.04E-08,11.47044191
35,1.934376817,0.544353602,0.006618902,233.9230042,0.03248505,0.036413644,2.65E-07,6.83E-08,36.63717847
36,1.655665736,0.371144211,0.006438067,225.9360657,0.005108084,0.008374896,4.30E-08,2.47E-08,5.946510815
37,1.742684671,0.933954867,0.007490551,262.9286499,0.028488355,0.05236676,1.27E-07,9.26E-08,17.54344079
38,1.86898745,0.194187286,0.007746825,243.1521912,0.018106086,0.020872526,1.09E-07,2.50E-08,15.07573211
39,1.301422134,0.705806308,0.007879709,265.3187561,0.052683639,0.066657554,3.52E-07,1.31E-07,48.61624016
40,0.777120687,0.308710431,0.011302966,217.819519,0.05709991,0.075934164,3.50E-07,1.58E-07,48.38469851
41,0.798139695,1,0.006338625,241.6945953,0.0536587,0.064228751,5.31E-07,9.01E-08,73.45342462
42,0.508525594,0.894082968,0.00667435,269.8730774,0.080901576,0.079494519,5.72E-07,9.64E-08,79.10396893
43,1.552841921,0.53952357,0.00689984,227.1857147,0.027403619,0.027888065,2.03E-07,4.77E-08,28.03952944
44,1.631001933,0.946629926,0.009315803,231.0165863,0.018288742,0.037578287,1.58E-07,1.15E-07,21.83694612
45,0.779662898,0.902789178,0.007275243,266.0665894,0.029636768,0.055728265,3.96E-07,1.37E-07,54.69341803
46,1.813030806,0.757075504,0.010274401,203.8439484,0.002533549,0.007407412,7.52E-08,4.02E-08,10.39331602
47,0.743857045,0.259188928,0.01123221,223.2939453,0.026080302,0.044325493,1.87E-07,5.82E-08,25.79185924
